name,place_id,description,summary
Salacak Walking Trail,965587,"Salacak , nestled along the Bosphorus on Istanbul 's Asian side , offer a multifaceted experience for outdoor enthusiasts . Whether you 're cruising on two wheels , pounding the pavement , or capturing the beauty of the Bosphorus through your camera lens , Salacak have something for everyone . Cyclists can enjoy the gentle slopes and paved paths , taking in panoramic views of the Maiden 's Tower and the surrounding historical landmarks . Meanwhile , runners can lace up their shoes and embark on a scenic jog along the flat terrain , breathing in the refreshing breeze from the Bosphorus . As you explore the neighborhood 's waterfront , do n't forget to bring your camera or smartphone to snap stunning photos of the shimmering waters and iconic landmarks . From Uskudar to Harem , Salacak 's waterfront route caters to athletes of all levels , promising a blend of natural beauty and historical charm to elevate your workout experience and capture unforgettable moments along the shores of the Bosphorus .","Salacak, nestled along the bosphorus on Istanbul's Asian side, offer a multifaceted experience for outdoor enthusiasts. cyclists can enjoy the gentle slopes and paved paths, taking in panoramic views of the maiden's tower. while runners can embark on a scenic jog along the flat terrain, breathing in the refreshing breeze from the bosphorus."
Camlica Hill,331296,"Camlica Hill , about 3 km from the 15 July Martyrs Bridge , offer a stunning panoramic view of Istanbul , making it a favorite spot for locals and tourists . It hold historical significance from the Ottoman era , inspiring poetry , songs , and films , remaining beloved by lovers . Accessible via various transportation options from different parts of Istanbul , reaching Camlica Hill be convenient . Once there , visitors can enjoy traditional Turkish coffee or tea while taking in the stunning vista of the Bosphorus from the hilltop restaurant . The landscape , with ancient trees and vibrant flowers , be ideal for wedding photoshoots and attracts nature enthusiasts and bird watchers . Camlica Hill offer unparalleled views of landmarks like the Princes Islands , Sultanahmet , and Ortakoy . Divided into two sections , Buyuk and Kucukcamlica , each have its own charm and amenities , including cafes and pavilions . Furthermore , Camlica Hill host technological infrastructure , including a TV and radio tower , enhancing broadcasting capabilities . Overall , Camlica Hill be a testament to Istanbul 's beauty and cultural richness , inviting visitors to immerse themselves in its scenic splendor and historical allure .",camlica hill offer a stunning panoramic view of the bosphorus. it hold historical significance from the Ottoman era. landscape be ideal for wedding photoshoots and attracts nature enthusiasts and bird watchers.
Camlica Mosque,868833,"The construction of Camlica Mosque on Camlica Hill in Uskudar , Istanbul , was announced by the Istanbul Mosque and Education - Culture Service Units Building and Living Association . The mosque , expected to become a new symbol of the city , was chosen from a competition where it received the second prize . Designed by Bahar Mizrak and Hayriye Gul Totu , the mosque is intended to blend traditional Turkish - Islamic architecture with contemporary elements , creating a complex that includes not only places of worship but also social , cultural , and educational spaces . Costing around TL 150 million , it be the largest mosque in Turkey , accommodating up to 63,000 people and featuring amenities such as a museum , art gallery , library , conference hall , and underground parking for 3,500 vehicles . The mosque 's design , spanning 107.1 meters in reference to the Battle of Manzikert in 1071 , be one of several megaprojects undertaken by the Turkish government to showcase the country 's strength and provide a legacy for the ruling AK Party . The mosque , inaugurated on 4 May 2019 by Turkish President Erdogan , aim to be "" female - friendly , "" with amenities such as separate ablution areas , an elevator for women , and a childcare room . The project has faced criticism for its location and scale , with concerns raised over traffic congestion and its necessity for local residents . Nevertheless , it symbolize a significant investment in cultural diplomacy and reflects Turkey 's vision for its role in the world .","the construction of the mosque was announced by the Istanbul Mosque and Education - Culture Service Units Building and living association. the mosque, expected to become a new symbol of the city, was chosen from a competition where it received the second prize. designed by bahar mizrak and Hayriye Gul Totu, it be the largest mosque in turkey."
Camlica Tower,601061,"Camlica Tower stand as a testament to Turkey 's pioneering role in radio broadcasting . Since its establishment in 1927 , radio in Turkey has evolved from mere entertainment to a medium for culture , education , and national identity . Today , Camlica Tower continue this legacy by revolutionizing radio broadcasting with its ability to host 100 channels simultaneously without interference . Constructed by local technology firms , the tower not only enhance broadcasting quality but also contributes significantly to national development . Apart from its broadcasting function , the tower offer amenities such as souvenir shops , cafeterias , and restaurants , making it a popular destination for visitors . With a ground level height of 218 meters and 49 floors , the tower provide breathtaking views from its observation decks and restaurants . Its technical specifications demonstrate its significance as one of Istanbul 's most valuable structures . Overall , Camlica Tower symbolize Turkey 's commitment to technological advancement and cultural enrichment through radio broadcasting .","camlica tower stand as a testament to turkey's pioneering role in radio broadcasting. the tower revolutionize radio broadcasting with its ability to host 100 channels simultaneously without interference. constructed by local technology firms, the tower not only enhance broadcasting quality but also contributes significantly to national development."
Museum of Islamic Civilizations,769885,"The Museum of Islamic Civilizations ( MIC ) in Camlica , Istanbul , Turkey , opened its doors to visitors on April 8th , 2022 . Part of the Great Camlica Mosque complex , it showcase artifacts spanning from the 7th to the 19th centuries , highlighting the artistic and historical evolution of Islamic Civilization across 14 sections . The project , designed in two stages , included the creation of an exhibition scenario followed by its implementation , along with the interior design of the museum and ancillary spaces such as a cafe and museum shop . More than 400 artifacts were carefully selected from six museums and placed within the museum 's exhibition space . The museum aim to provide a comprehensive narrative of Islamic Civilization 's culture and architecture through representation , places of worship , scientific developments , and more . Audio / visual installations and interactive experience areas enhance the visitor 's understanding and engagement . With a total exhibition area of 8,000 m2 spread over two floors , the museum offer uninterrupted circulation for visitors to explore the artifacts and experience a holistic space . Special attention was given to preserving the artifacts through the use of display cases with advanced climate control , lighting , and security technologies . Completed in 2022 , the museum provide a rich and immersive journey through the history and culture of Islamic Civilization .","the museum of Islamic civilizations ( MIC ) opened its doors to visitors on April 8th, 2022. it showcase artifacts spanning from the 7th to the 19th centuries. more than 400 artifacts were carefully selected from six museums and placed within the museum's exhibition space."
Fethi Pasha Grove,275853,"Fethi Pasha Grove be a spacious park nestled on a hill overlooking the Bosphorus shoreline , situated in the Pasalimani area between the Kuzguncuk and Sultantepe neighborhoods . Offering breathtaking views of the city and the Bosphorus , this grove on the rear slopes provide an ideal setting to relax with a refreshing beverage . Visitors can unwind at two pavilions within the grove , which have been transformed into a restaurant and café . Additionally , the area boast amenities for recreation and enjoyment , including children 's playgrounds , sports fields , basketball courts , and two ponds . Fethi Pasha Grove serve as a tranquil retreat from the bustling city life , offering families a serene oasis amidst verdant , sloping landscapes .","Fethi Pasha Grove be a spacious park nestled on a hill overlooking the bosphorus shoreline. the park is situated in the Pasalimani area between the Kuzguncuk and Sultantepe neighborhoods. the area boast amenities for recreation and enjoyment, including children's playgrounds."
Beylerbeyi Palace,140042,"The Beylerbeyi Palace , nestled in the Beylerbeyi district of Istanbul on the Asian shores of the Bosphorus , stand as a testament to Ottoman architectural elegance and imperial grandeur . Commissioned by Sultan Abdulaziz in the 1860s , this summer retreat was designed by Sarkis Balyan in the Second Empire style , exhibiting a more subdued opulence compared to its counterparts . Its historical significance is marked by notable visitors , including Empress Eugénie of France , albeit with a notable incident involving the sultan 's mother . From the Bosphorus , the palace reveal its charm , with its bathing pavilions and reception hall adorned with French Baccarat crystal chandeliers and Hereke carpets . Beylerbeyi Palace remain a captivating landmark , offering a glimpse into the lavish lifestyle of Ottoman royalty and hosting the memories of significant historical events within its walls .","commissioned by sultan Abdulaziz in the 1860s, this summer retreat was designed by Sarkis balyan in the second empire style. its historical significance is marked by notable visitors, including the sultan's mother. its bathing pavilions and reception hall adorned with french Baccarat crystal chandeliers and hereke carpets."
Validebag Grove,850483,"Validebag Grove , nestled between the Altunizade , Acibadem , and Kosuyolu districts in Uskudar , hold a rich history dating back two centuries . Initially established as a vineyard for Sultan III . Selim 's mother , Mihrisah Valide Sultan , it later passed through various hands , eventually becoming the property of the Altunizade family . In 1853 , Sultan Abdulaziz reconstructed the area , presenting it to his mother Pertevniyal Valide Sultan as a hunting lodge , which later served as a summer palace for Adile Sultan . Today , Validebag Grove stand as the second - largest green space on the Anatolian side , boasting a diverse ecosystem with trees spanning centuries , over 40 species , and a variety of wildlife . Transformed into a botanical garden in the mid-19th century , the grove house historical structures like the Adile Sultan Summer Palace , known for its appearance in the iconic movie "" The Class of Hababam , "" and the Abdulaziz Hunting Pavilion , now serving as the Scout Museum . Among other notable buildings are the Teachers House Hotel and Nursing Home , adding to the grove 's cultural significance alongside its ecological importance .","Validebag Grove is the second - largest green space on the Anatolian side. established as a vineyard for sultan III. selim's mother, mihrisah Valide Sultan. later passed through various hands, eventually becoming the property of the Altunizade family."
Hababam Class Museum,432515,"The Hababam Class Museum , nestled in Istanbul 's Uskudar district , offer a unique experience for fans of the iconic Turkish comedy series . Boasting special collections that vividly bring to life the characters , scenes , and ambiance of the beloved films , the museum provide a nostalgic journey into a significant era of Turkish cinema and popular culture . Visitors can marvel at silicone sculptures of the film 's actors , peruse posters and postcards showcasing memorable moments , and explore pieces of stage sets that recreate the film 's environment . Located within the Adile Sultan Castle in the Validebag Reserve , the museum stand as a testament to preserving Turkish cinematic heritage while offering an immersive and enjoyable experience for all . For those planning a visit , transportation options are available from various parts of Istanbul , ensuring easy access to this cultural gem . While the museum is closed on Sundays , it welcome visitors throughout the week , allowing ample time to delve into the world of Hababam Class and relive cherished memories . With activities ranging from examining statues to recreating movie scenes , the museum promise a fun - filled and meaningful visit for enthusiasts and newcomers alike . Whether admiring silicone sculptures or exploring the film 's history through informative displays , guests are sure to depart with lasting memories and a newfound appreciation for Turkish cinema .","the museum offers a nostalgic journey into a significant era of Turkish cinema and popular culture. visitors can marvel at silicone sculptures of the film's actors, peruse posters and postcards showcasing memorable moments. while the museum is closed on Sundays, it welcome visitors throughout the week."
Kuzguncuk Coast,682423,"Kuzguncuk , aptly nicknamed the "" sweet delicacy , "" be a charming neighborhood nestled on the Asian side of Istanbul within the Uskudar district . With its picturesque streets lined with colorful antique wooden houses and inviting cafes , Kuzguncuk offer a serene escape from the hustle and bustle of city life . Its rich history , evident in the diverse array of religious buildings , add to the neighborhood 's unique allure , while small art galleries and bookstores contribute to its vibrant atmosphere . Moreover , Kuzguncuk surprise visitors with its communal vegetable garden , reflecting a commitment to sustainability and community engagement . Whether exploring its historic streets , indulging in delicious treats , or simply enjoying the tranquil coastal views , Kuzguncuk enchant visitors with its timeless charm and warm hospitality .","Kuzguncuk is a charming neighborhood nestled on the Asian side of Istanbul within the Uskudar district. its picturesque streets lined with colorful antique wooden houses and inviting cafes. its rich history, evident in the diverse array of religious buildings, add to its unique allure."
Abdülmecid Efendi Mansion,424824,"The Mecid Efendi Mansion , originally built as a hunting lodge in the late 19th century , boast a rich history and stunning architectural features that blend Ottoman and Egyptian styles . Constructed between 1880 and 1885 by Ismail Pasha , the Khedive of Egypt , and later acquired by Abdulhamid II , the mansion became a summer residence and art studio for Abdulmecid Efendi , the caliph 's uncle . Renowned for his passion for painting , Abdulmecid Efendi adorned the mansion with decorative masterpieces , reflecting his love for art and Egyptian interior style . Over the years , the mansion served as a venue for artistic and literary gatherings , as well as political meetings following the declaration of constitutional monarchy . Despite changing hands multiple times , the mansion retained its architectural grandeur and cultural significance . Designed by architect Vallaury , the mansion feature intricately crafted details , including colorful tiles , stunning calligraphy , and a magnificent entrance door inscribed with a verse from the Quran . Today , under the ownership of Koc Holding Pension and Provident Fund , the Mecid Efendi Mansion stand as a testament to Istanbul 's rich architectural heritage and continues to captivate visitors with its timeless beauty and historical charm .","the mecid efendi mansion was originally built as a hunting lodge in the late 19th century. the mansion became a summer residence and art studio for Abdulmecid efendi, the caliph's uncle. despite changing hands multiple times, the mansion retained its architectural grandeur and cultural significance."
Nakkaştepe People's Garden,375467,"The Nakkastepe Millet Garden , situated in the Uskudar district of Istanbul , offer a picturesque setting for picnics and outdoor activities , overlooking the Bosphorus and spanning approximately 90,000 square meters . Established as Istanbul 's first Millet Garden , it was inaugurated in 2018 by the Ministry of Environment and Urban Planning in collaboration with the Uskudar Municipality . Boasting a range of amenities and attractions , including picnic areas , sports grounds , tennis courts , children 's playgrounds , and an adventure park with a zipline , the garden provide ample opportunities for recreation and relaxation amidst nature . Visitors can also explore the biological pond , walking trails , and enjoy panoramic views of Istanbul from the viewing terraces . With its diverse offerings and free admission for pedestrians , the Nakkastepe Millet Garden has become a beloved destination for residents and tourists alike , providing a refreshing escape into the beauty of Istanbul 's natural landscape .","the Nakkastepe millet garden is situated in the Uskudar district of Istanbul. it was inaugurated in 2018 by the ministry of environment and urban planning in collaboration with the uskudar municipality. the garden offers a range of amenities and attractions, including picnic areas, sports grounds, tennis courts, and an adventure park with a zipline."
Historical Plane Tree of Çengelköy,414821,"The historical plane tree in Cengelkoy stand as a symbol of endurance and timelessness , its gnarled branches stretching out over the bustling streets below . Believed to be centuries old , this majestic tree has witnessed the passing of generations , silently observing the ebb and flow of life in the charming neighborhood of Cengelkoy on the Asian side of Istanbul . With its sprawling canopy providing shade and shelter to locals and visitors alike , the plane tree serves as a gathering place , where conversations are shared , memories are made , and the rich tapestry of history intertwines with the present moment . Its weathered bark tell stories of bygone eras , while its verdant leaves whisper secrets of resilience and renewal . As a cherished landmark in Cengelkoy , the historical plane tree stand as a testament to the enduring spirit of Istanbul and the timeless beauty of nature .","the historical plane tree in Cengelkoy stand as a symbol of endurance and timelessness. its weathered bark tell stories of bygone eras, while its verdant leaves whisper secrets of resilience and renewal."
Gastronomy Street,496546,"Uskudar Gastronomy Street in Istanbul stand as a vibrant testament to the rich culinary heritage of the city , offering a captivating fusion of traditional Turkish flavors and international cuisine . As you navigate through its bustling lanes , the air is filled with the tantalizing aromas of freshly prepared dishes , inviting you to indulge in a gastronomic journey like no other . From quaint cafes serving aromatic Turkish coffee to family - run restaurants dishing out authentic kebabs and mezes , every corner of this street tell a story of culinary excellence and cultural diversity . Whether you 're a seasoned food enthusiast or a curious traveler eager to explore new tastes , Uskudar Gastronomy Street promise an unforgettable dining experience that celebrates the vibrant spirit of Istanbul 's culinary scene .",uskudar gastronomy street in Istanbul offer a captivating fusion of traditional Turkish flavors and international cuisine. from quaint cafes serving aromatic Turkish coffee to family - run restaurants dishing out authentic kebabs and mezes. every corner of this street promise an unforgettable dining experience.
Mehmet Naci Akgöz Kite Museum,770256,"The Kite Museum , located in Uskudar , Istanbul , offer a captivating journey into the world of kite - flying , showcasing a diverse collection of kites from various cultures and historical periods . As you step into the museum , you 'll be greeted by colorful displays of kites of all shapes and sizes , each with its own unique design and story to tell . From traditional handmade kites to modern innovations , the museum provide a comprehensive look at the art and history of kite - making . Visitors can learn about the cultural significance of kites in different societies , as well as the science behind their flight . Whether you 're a kite enthusiast or simply curious about this age - old pastime , the Kite Museum offer a fascinating glimpse into a beloved tradition enjoyed by people around the world .","the kite museum offers a fascinating journey into the world of kite - flying. visitors can learn about the cultural significance of kites in different societies. from traditional handmade kites to modern innovations, the museum provide a comprehensive look at the art and history of kite - making."
Mihrimah Sultan Mosque,777046,"The Mihrimah Sultan Mosque , located in the Uskudar district of Istanbul , be a stunning architectural marvel that stands as a testament to Ottoman design and ingenuity . Commissioned by Mihrimah Sultan , the daughter of Sultan Suleyman the Magnificent and his wife Hurrem Sultan , this mosque was constructed between 1546 and 1548 by the renowned architect Mimar Sinan . It be one of Sinan 's masterpieces , showcasing his distinctive style and innovative architectural techniques . The mosque 's graceful domes , elegant minarets , and intricate tilework create a sense of grandeur and serenity . With its strategic location overlooking the Bosphorus , the Mihrimah Sultan Mosque continue to be a cherished landmark and a place of worship for the local community .","the mihrimah Sultan mosque is located in the uskudar district of Istanbul. it was constructed between 1546 and 1548 by the renowned architect mimar sinan. the mosque's graceful domes, elegant minarets, and intricate tilework create a sense of grandeur."
Mahpeyker Kösem Valide Sultan Mosque,130835,"The Tiled Mosque , also known as Mahpeyker Kosem Valide Sultan Mosque , be a stunning architectural gem nestled within Istanbul 's bustling streets . Its elegant minarets and domes rise gracefully against the city skyline , drawing admiration from all who encounter its grandeur . Stepping inside , visitors are enveloped in an atmosphere of serenity and reverence , where the interplay of light and shadow dances across the intricate tilework , creating a mesmerizing display of beauty . As one explores the mosque 's interior , they are greeted by the harmonious blend of Ottoman architectural elements and exquisite decorative details , each telling a story of faith , culture , and tradition . Whether observed from afar or experienced up close , the Tiled Mosque stand as a timeless symbol of Istanbul 's rich history and enduring spiritual legacy .","the Tiled Mosque, also known as Mahpeyker Kosem Valide Sultan Mosque, is a stunning architectural gem. visitors are enveloped in an atmosphere of serenity and reverence, where the interplay of light and shadow dances across the intricate tilework."
Historical Kuzguncuk Houses,831238,"Nestled within the charming neighborhood of Kuzguncuk lie a treasure trove of historical houses that epitomize Istanbul 's architectural splendor . These houses , with their distinctive features such as umbrella - roofed bay windows and intricately designed doors , stand as timeless monuments to the city 's rich cultural heritage . Despite facing the challenges of time , including past fires , these houses have been lovingly restored to their former glory , preserving their original allure . Each house exude its own unique character , offering a glimpse into Istanbul 's illustrious past and inviting visitors to step back in time . As you wander through the streets of Kuzguncuk , the elegant facades and intricate details of these houses captivate the imagination , evoking a sense of nostalgia for a bygone era of craftsmanship and beauty .","nestled within the charming neighborhood of Kuzguncuk lie a treasure trove of historical houses. with distinctive features such as umbrella - roofed bay windows and intricately designed doors. each house exude its own unique character, offering a glimpse into the city's illustrious past."
Nevmekan,891167,"Nevmekan Sahil , established in the former marriage registration building of Uskudar in 2018 , has become a significant venue for Istanbul 's culture and art of living . It symbolize the respect and admiration for Istanbul 's rich heritage and identity . Stemming from the transformation of Istanbul in 1453 , this venue embody the essence of the city 's culture , sounds , spirit , and beauty . It serve as a hub for cultural activities , offering a space where the city 's unique identity is celebrated through literature , music , and film . Nevmekan Sahil stand as a testament to the enduring legacy and cultural richness of Istanbul .","established in the former marriage registration building of uskudar in 2018. it stand as a testament to the enduring legacy and cultural richness of Istanbul. the venue embody the essence of the city's culture, sounds, spirit, and beauty."
Small Camlica Grove,720081,"Kucuk Camlica Grove , nestled beneath Camlica Hill , be a serene escape from the urban chaos of Istanbul . This lush green oasis offer a tranquil environment for picnics , leisurely walks , and outdoor activities . Visitors can immerse themselves in nature while enjoying stunning views of the surrounding area . With its well - maintained pathways and abundant greenery , the grove provide a peaceful retreat for families and nature enthusiasts alike . The grove 's location near Camlica Hill add to its allure , offering visitors the opportunity to explore both natural and historical landmarks . Many choose to visit Kucuk Camlica Grove to relax , unwind , and reconnect with nature away from the city 's hustle and bustle . It be a popular destination for locals and tourists seeking a break from the urban environment . Whether you 're looking to have a picnic , go for a hike , or simply enjoy the scenic beauty , Kucuk Camlica Grove offers something for everyone . Its serene atmosphere and picturesque surroundings make it a must - visit destination in Istanbul for those craving a peaceful retreat amidst nature .",Kucuk camlica grove be a serene escape from the urban chaos of Istanbul. the grove be a popular destination for locals and tourists seeking a break from the urban environment. the lush green oasis offer a tranquil environment for picnics and leisurely walks.
Emaar Aquarium and Underwater Zoo,207024,"Emaar Aquarium & Underwater Zoo offer a fascinating experience for visitors , showcasing an array of thematic sections such as Rocky Shores , Tunnel Aquarium , Dreamers Island , Forests , Rivers and Falls , Penguin Island , and The Crocodile Kingdom . With over 20,000 marine animals and amphibians from 200 species , including sharks , stingrays , crocodiles , penguins , and more , guests are in for a treat . The aquarium 's modern design and magical atmosphere make it an exciting tourist attraction in Istanbul . Visitors can enjoy interactive play areas , digital experiences , and perfect photo opportunities . Plus , entrance to Emaar Aquarium & Underwater Zoo be complimentary with the Istanbul Tourist Pass ® , offering access to over 100 attractions .","20,000 marine animals and amphibians from 200 species. visitors can enjoy interactive play areas, digital experiences, and perfect photo opportunities. entrance to the aquarium is complimentary with the Istanbul tourist pass, offering access to over 100 attractions."
KidZania,299035,"KidZania Istanbul be a captivating indoor theme park nestled in the heart of Istanbul , Turkey , offering an immersive role - playing adventure for children between the ages of 4 and 14 . This dynamic destination replicate a bustling city environment , complete with streets , buildings , and a myriad of interactive activities spanning over 70 professions . From aspiring firefighters to budding chefs , children have the opportunity to explore diverse roles while learning essential life skills such as teamwork and decision - making . With its vibrant atmosphere and educational focus , KidZania Istanbul provide an enriching experience that ignites creativity and sparks imagination in young visitors .","kidzania Istanbul be a captivating indoor theme park nestled in the heart of Istanbul, offering an immersive role - playing adventure for children between the ages of 4 and 14. this dynamic destination replicate a bustling city environment, complete with streets, buildings and a myriad of interactive activities. from aspiring firefighters to budding chefs, children have the opportunity to explore diverse roles while learning essential life skills."
Istanbul Museum of Graphic Arts,196733,"The journey of IMOGA , one of the few printmaking museums globally , trace back to the private studios established by Suleyman Saim Tekcan . Beginning in Kuyubasi in 1974 , these studios aimed to provide Tekcan a space for his artistic endeavors . However , Tekcan 's inclusive vision led to collaborations with other artists , fostering a vibrant creative community . The studio eventually relocated to Sogutlucesme , evolving into a hub for artistic discourse and production . In 1984 , Tekcan 's ambitious vision materialized in the form of Artess Camlica Art House , a state - of - the - art facility promoting printmaking on an international scale . This architectural marvel , designed by Cihat Burak , housed modern equipment and facilitated artistic collaborations , leaving an indelible mark on Turkey 's art scene . In 2004 , Tekcan 's lifelong dedication culminated in the establishment of IMOGA , Turkey 's first printmaking museum , embodying his commitment to artistic excellence and education . IMOGA 's comprehensive facilities and global outreach underscore its pivotal role in advancing printmaking as a revered art form . Through meticulous curation and adherence to ethical standards , IMOGA continue to preserve artistic integrity while fostering innovation and collaboration in the realm of printmaking .","IMOGA traces its roots back to the private studios established by suleyman saim tekcan in 1974. Tekcan's inclusive vision led to collaborations with other artists, fostering a vibrant creative community. in 2004, Tekcan's lifelong dedication culminated in the establishment of IMOGA, turkey's first printmaking museum."
Kuzguncuk Icadiye Street,831890,"Icadiye Caddesi in Kuzguncuk is renowned for its vibrant cultural scene and diverse food and drink establishments . This historic street , lined with charming Ottoman - era houses , offer a unique atmosphere for visitors to immerse themselves in local culture while enjoying delicious cuisine and refreshing beverages . From traditional Turkish meyhanes serving authentic mezes and raki to trendy cafes offering specialty coffees and pastries , Icadiye Caddesi caters to a wide range of tastes . Additionally , visitors can explore art galleries showcasing the works of local artists or attend live music performances at cozy venues scattered along the street . Whether you 're looking to indulge in mouthwatering Turkish dishes , sip on artisanal cocktails , or simply soak in the vibrant ambiance , Icadiye Caddesi in Kuzguncuk be the perfect destination for cultural exploration and culinary delights .","Icadiye Caddesi in Kuzguncuk is renowned for its vibrant cultural scene and diverse food and drink establishments. from traditional Turkish meyhanes serving authentic mezes and raki to trendy cafes offering specialty coffees and pastries, the street caters to a wide range of tastes."
Camlica Social Facilities,128087,"Away from the hustle and bustle of the city , Camlica Social Facilities offer a serene atmosphere amidst the shade of trees , overlooking the Bosphorus , making it an ideal spot for a delightful breakfast or a leisurely cup of tea or coffee . Situated on Buyuk Camlica Hill , approximately 265 meters above sea level , the facilities boast lush greenery , historic trees , colorful flowers , and stunning views of the Bosphorus and the Marmara Sea . Covering an area of 3,000 square meters , Camlica Social Facilities comprise a 400 - square - meter indoor restaurant area , an Ottoman - style café , and various snack bars in the Garden Café section . The restaurant area , adorned with traditional motifs and reflecting Turkish cuisine , offer specialties such as Kofteli Patlican Sogurtme and Sebze ile Doldurulmus Bonfile . The Ottoman Café , with its decor reminiscent of the Ottoman era , invite guests to enjoy a variety of desserts and pastries along with beverages while engaging in friendly conversations . Meanwhile , the Garden Café feature snack bars offering a range of treats like simit , gozleme , and kofte ekmek , allowing visitors to savor delicious snacks while soaking in panoramic views of Istanbul . With its picturesque setting , delectable cuisine , and soothing ambiance accompanied by classical Turkish music , Camlica Social Facilities promise an unforgettable experience for guests seeking tranquility and culinary delight .","the facilities boast lush greenery, historic trees, colorful flowers, and stunning views of the bosphorus and the marmara sea. covering an area of 3,000 square meters, the facilities comprise a 400 - square meter indoor restaurant area. the Ottoman Café, with its decor reminiscent of the Ottoman era, invite guests to enjoy a variety of desserts and pastries."
Semsi Pasha Mosque,266340,"The Semsi Pasha Mosque , designed by the renowned Ottoman architect Mimar Sinan for Semsi Pasha , be one of Istanbul 's smaller yet most picturesque mosques . Situated along the Bosphorus shoreline , its compact size and scenic waterfront location contribute to its charm , showcasing Mimar Sinan 's ability to harmonize architecture with the natural surroundings . The mosque complex , completed in 1580 , feature a square - shaped prayer hall with a single dome , joined to the mausoleum of Semsi Pasha . The mausoleum , connected to the prayer hall by a grille , boast a mirror vault chamber and intricately adorned windows overlooking the Bosphorus . The complex also include an L - shaped madrasa , enclosing the precinct with a seawall featuring grill - windows , creating a gallery - like ambiance with framed views of the Bosphorus . Restored in 1940 , the mosque 's portico and arcade showcase pointed arches , shed roofs , and diamond - cut capitals , while the prayer hall is crowned by a dome supported by squinches and adorned with colorful glass windows . The mausoleum , similarly adorned , complement the mosque 's architectural splendor , while the madrasa features twelve domed cells and a classroom , now repurposed as a library . With its historical significance and architectural elegance , the Semsi Pasha Mosque remain a captivating landmark along the shores of Uskudar .","the Semsi Pasha Mosque was designed by the renowned Ottoman architect mimar sinan for semsi pasha. the mosque complex, completed in 1580, feature a square - shaped prayer hall with a single dome. the mausoleum boast a mirror vault chamber and intricately adorned windows overlooking the bosphorus."
Filizler Meatball Restaurant,459627,"Filizler Meatball Restaurant in Uskudar be a beloved culinary gem known for its delicious meatball dishes and welcoming ambiance . Situated in the heart of Uskudar , this restaurant attract locals and visitors alike with its mouthwatering offerings and excellent service . The menu feature a variety of meatball options , each prepared with high - quality ingredients and cooked to perfection . From traditional kofte dishes to modern twists on classic recipes , there be something to satisfy every palate at Filizler . The restaurant 's cozy atmosphere and friendly staff create a memorable dining experience , making it a must - visit destination for meatball lovers in Uskudar and beyond . Whether you 're craving a hearty meal with family or looking for a casual spot to enjoy delicious Turkish cuisine , Filizler Meatball Restaurant promise a delightful culinary journey .","Filizler is a beloved culinary gem known for its mouthwatering offerings and welcoming ambiance. the menu feature a variety of meatball options, each prepared with high - quality ingredients and cooked to perfection. from traditional kofte dishes to modern twists on classic recipes, there be something to satisfy every palate."
Museum of Ottoman Women Sultans,653321,"Uskudar , one of Istanbul 's significant settlements , form part of the trio known as "" bilâd - i selâse , "" alongside Galata and Eyup . Over the centuries , Uskudar has thrived in trade , law , culture , and arts , owing to its strategic location and rich heritage . The district 's allure is further heightened by the historical interest shown by Ottoman lady sultans , leaving a legacy of mosques and fountains . To preserve this legacy , the Uskudar Municipality embarked on a project to create a collection of dolls representing Ottoman lady sultans . Collaborating with experts , meticulous research was conducted to accurately depict historical garments and accessories . The resulting collection reflect both the daily and palace life of Ottoman society , capturing the essence of Uskudar 's cultural heritage . Inspired by the success of the project , the municipality established the Uskudar Lady Sultans Museum , offering visitors a glimpse into the intersection of history and art . This museum serve as a tribute to the enduring legacy of Uskudar 's lady sultans and their profound impact on Istanbul 's cultural landscape .","uskudar is one of Istanbul's significant settlements. it has thrived in trade, law, culture, and arts over the centuries. its allure is further heightened by the historical interest shown by Ottoman lady sultans. the municipality embarked on a project to create a collection of dolls representing the lady sultans."
Pasalimanı Restaurant,805735,"The IBB Beltur Pasalimani Restaurant , located in Istanbul , offer a unique dining experience characterized by its historical ambiance and breathtaking views . Situated in a picturesque setting , the restaurant provide diners with an opportunity to enjoy delicious cuisine while taking in the beauty of the surrounding landscape . With a diverse menu featuring traditional Turkish dishes and international cuisine , there be something to satisfy every palate . Whether visitors are looking for a romantic dinner or a casual meal with friends and family , the IBB Beltur Pasalimani Restaurant offer a welcoming atmosphere and impeccable service . Additionally , the restaurant 's convenient location make it easily accessible for both locals and tourists alike , making it a must - visit destination for anyone exploring Istanbul 's culinary scene .",the IBB beltur pasalimani restaurant is located in the heart of the historic district of kapiteli. the restaurant offers a diverse menu featuring traditional Turkish dishes and international cuisine. the restaurant is easily accessible for both locals and tourists alike.
Maritime Museum,970705,"Istanbul Maritime Museum be Turkey 's largest maritime museum and one of the world 's leading museums in terms of the diversity of its collections . There are approximately 20,000 works in its collection . Istanbul Maritime Museum , which is affiliated with the Naval Forces Command , be the first military museum established in Turkey .","Istanbul Maritime Museum be Turkey's largest maritime museum and one of the world's leading museums in terms of the diversity of its collections. there are approximately 20,000 works in its collection. the museum is affiliated with the naval forces command and be the first military museum established in turkey."
